ring_id,vertex_id,x,y
0,0,25000.000000,0.000000
0,1,25000.201705,14.346599
0,2,25000.806811,28.693903
0,3,25001.815298,43.042614
0,4,25003.227129,57.393437
0,5,25005.042254,71.747075
0,6,25007.260608,86.104232
0,7,25009.882114,100.465612
0,8,25012.906676,114.831917
0,9,25016.334187,129.203850
0,10,25020.164526,143.582113
0,11,25024.397556,157.967410
0,12,25029.033126,172.360441
0,13,25034.071071,186.761908
0,14,25039.511212,201.172512
0,15,25045.353355,215.592953
0,16,25051.597292,230.023931
0,17,25058.242800,244.466145
0,18,25065.289643,258.920294
0,19,25072.737570,273.387075
0,20,25080.586315,287.867186
0,21,25088.835600,302.361323
0,22,25097.485130,316.870182
0,23,25106.534597,331.394458
0,24,25115.983680,345.934843
0,25,25125.832041,360.492033
0,26,25136.079330,375.066717
0,27,25146.725181,389.659589
0,28,25157.769217,404.271337
0,29,25169.211043,418.902651
0,30,25181.050252,433.554218
0,31,25193.286422,448.226726
0,32,25205.919118,462.920859
0,33,25218.947890,477.637303
0,34,25232.372274,492.376740
0,35,25246.191791,507.139852
0,36,25260.405950,521.927319
0,37,25275.014244,536.739821
0,38,25290.016154,551.578035
0,39,25305.411144,566.442638
0,40,25321.198667,581.334304
0,41,25337.378161,596.253706
0,42,25353.949049,611.201516
0,43,25370.910741,626.178405
0,44,25388.262633,641.185039
0,45,25406.004108,656.222087
0,46,25424.134533,671.290212
0,47,25442.653262,686.390079
0,48,25461.559637,701.522349
0,49,25480.852985,716.687680
0,50,25500.532617,731.886732
0,51,25520.597833,747.120159
0,52,25541.047920,762.388617
0,53,25561.882147,777.692755
0,54,25583.099774,793.033225
0,55,25604.700046,808.410674
0,56,25626.682192,823.825749
0,57,25649.045430,839.279091
0,58,25671.788963,854.771344
0,59,25694.911983,870.303146
0,60,25718.413665,885.875133
0,61,25742.293172,901.487942
0,62,25766.549655,917.142204
0,63,25791.182249,932.838549
0,64,25816.190077,948.577605
0,65,25841.572249,964.359997
0,66,25867.327861,980.186348
0,67,25893.455996,996.057279
0,68,25919.955723,1011.973406
0,69,25946.826099,1027.935345
0,70,25974.066167,1043.943709
0,71,26001.674957,1059.999108
0,72,26029.651486,1076.102148
0,73,26057.994758,1092.253436
0,74,26086.703763,1108.453571
0,75,26115.777479,1124.703154
0,76,26145.214872,1141.002780
0,77,26175.014892,1157.353044
0,78,26205.176479,1173.754535
0,79,26235.698559,1190.207841
0,80,26266.580044,1206.713547
0,81,26297.819836,1223.272235
0,82,26329.416822,1239.884483
0,83,26361.369877,1256.550867
0,84,26393.677863,1273.271959
0,85,26426.339630,1290.048329
0,86,26459.354015,1306.880542
0,87,26492.719842,1323.769163
0,88,26526.435923,1340.714752
0,89,26560.501059,1357.717863
0,90,26594.914035,1374.779052
0,91,26629.673627,1391.898867
0,92,26664.778597,1409.077857
0,93,26700.227695,1426.316563
0,94,26736.019659,1443.615526
0,95,26772.153215,1460.975283
0,96,26808.627075,1478.396366
0,97,26845.439943,1495.879304
0,98,26882.590506,1513.424625
0,99,26920.077442,1531.032849
0,100,26957.899416,1548.704497
0,101,26996.055082,1566.440082
0,102,27034.543081,1584.240117
0,103,27073.362044,1602.105109
0,104,27112.510587,1620.035563
0,105,27151.987317,1638.031978
0,106,27191.790829,1656.094852
0,107,27231.919706,1674.224677
0,108,27272.372518,1692.421941
0,109,27313.147826,1710.687130
0,110,27354.244178,1729.020726
0,111,27395.660110,1747.423204
0,112,27437.394149,1765.895039
0,113,27479.444808,1784.436700
0,114,27521.810591,1803.048651
0,115,27564.489989,1821.731355
0,116,27607.481483,1840.485268
0,117,27650.783542,1859.310843
0,118,27694.394624,1878.208529
0,119,27738.313178,1897.178771
0,120,27782.537639,1916.222009
0,121,27827.066433,1935.338680
0,122,27871.897975,1954.529217
0,123,27917.030669,1973.794046
0,124,27962.462908,1993.133591
0,125,28008.193075,2012.548272
0,126,28054.219542,2032.038503
0,127,28100.540670,2051.604695
0,128,28147.154811,2071.247255
0,129,28194.060304,2090.966583
0,130,28241.255481,2110.763078
0,131,28288.738661,2130.637131
0,132,28336.508154,2150.589132
0,133,28384.562259,2170.619464
0,134,28432.899266,2190.728507
0,135,28481.517454,2210.916635
0,136,28530.415093,2231.184218
0,137,28579.590441,2251.531621
0,138,28629.041749,2271.959207
0,139,28678.767255,2292.467330
0,140,28728.765191,2313.056342
0,141,28779.033776,2333.726591
0,142,28829.571220,2354.478418
0,143,28880.375726,2375.312160
0,144,28931.445484,2396.228151
0,145,28982.778676,2417.226717
0,146,29034.373476,2438.308182
0,147,29086.228047,2459.472864
0,148,29138.340543,2480.721077
0,149,29190.709109,2502.053127
0,150,29243.331881,2523.469320
0,151,29296.206986,2544.969953
0,152,29349.332542,2566.555321
0,153,29402.706659,2588.225711
0,154,29456.327435,2609.981408
0,155,29510.192963,2631.822689
0,156,29564.301326,2653.749829
0,157,29618.650597,2675.763097
0,158,29673.238843,2697.862755
0,159,29728.064119,2720.049063
0,160,29783.124475,2742.322273
0,161,29838.417951,2764.682634
0,162,29893.942580,2787.130389
0,163,29949.696384,2809.665775
0,164,30005.677379,2832.289027
0,165,30061.883573,2855.000370
0,166,30118.312966,2877.800029
0,167,30174.963548,2900.688219
0,168,30231.833305,2923.665153
0,169,30288.920211,2946.731037
0,170,30346.222235,2969.886073
0,171,30403.737338,2993.130458
0,172,30461.463472,3016.464381
0,173,30519.398583,3039.888029
0,174,30577.540609,3063.401581
0,175,30635.887481,3087.005213
0,176,30694.437122,3110.699094
0,177,30753.187449,3134.483388
0,178,30812.136371,3158.358254
0,179,30871.281789,3182.323845
0,180,30930.621598,3206.380309
0,181,30990.153688,3230.527790
0,182,31049.875939,3254.766423
0,183,31109.786225,3279.096340
0,184,31169.882415,3303.517668
0,185,31230.162370,3328.030528
0,186,31290.623945,3352.635034
0,187,31351.264987,3377.331296
0,188,31412.083340,3402.119419
0,189,31473.076838,3426.999501
0,190,31534.243310,3451.971636
0,191,31595.580581,3477.035910
0,192,31657.086467,3502.192407
0,193,31718.758779,3527.441201
0,194,31780.595323,3552.782366
0,195,31842.593897,3578.215965
0,196,31904.752297,3603.742059
0,197,31967.068309,3629.360702
0,198,32029.539716,3655.071942
0,199,32092.164296,3680.875822
0,200,32154.939818,3706.772381
0,201,32217.864050,3732.761648
0,202,32280.934752,3758.843651
0,203,32344.149680,3785.018410
0,204,32407.506584,3811.285940
0,205,32471.003209,3837.646249
0,206,32534.637297,3864.099342
0,207,32598.406582,3890.645216
0,208,32662.308795,3917.283863
0,209,32726.341662,3944.015270
